time,expected_pos,expected_vel,actual_pos,actual_vel,error_pos,error_vel
0,0,0,0,0,0,0
0.005,-4.88787e-07,-0.000292905,0.0162125,-0.00559236,-0.016213,0.00529946
0.01,-3.89562e-06,-0.00116575,0.0162125,-0.00723096,-0.0162164,0.00606521
0.015,-1.30983e-05,-0.00260978,0.0162125,-0.00577506,-0.0162256,0.00316528
0.02,-3.09309e-05,-0.00461627,0.0162125,-0.00753499,-0.0162434,0.00291872
0.025,-6.0184e-05,-0.00717654,0.015831,-0.00897933,-0.0158912,0.00180279
0.03,-0.000103605,-0.010282,0.0162125,-0.00881401,-0.0163161,-0.00146795
0.035,-0.000163898,-0.0139239,0.0162125,-0.00866522,-0.0163764,-0.00525872
0.04,-0.000243724,-0.0180939,0.015831,-0.0070659,-0.0160747,-0.011028
0.045,-0.000345703,-0.0227834,0.015831,-0.00855714,-0.0161767,-0.0142263
0.05,-0.000472411,-0.027984,0.015831,-0.00989927,-0.0163034,-0.0180848
0.055,-0.000626381,-0.0336872,0.015831,-0.0108756,-0.0164574,-0.0228117
0.06,-0.000810107,-0.0398848,0.015831,-0.0108756,-0.0166411,-0.0290092
0.065,-0.00102604,-0.0465682,0.015831,-0.0102012,-0.016857,-0.036367
0.07,-0.00127659,-0.0537294,0.015831,-0.00991369,-0.0171076,-0.0438157
0.075,-0.00156411,-0.0613599,0.015831,-0.00965493,-0.0173951,-0.051705
0.08,-0.00189095,-0.0694518,0.0154495,-0.0108873,-0.0173405,-0.0585645
0.085,-0.00225939,-0.0779967,0.015831,-0.0119964,-0.0180904,-0.0660003
0.09,-0.00267166,-0.0869867,0.0154495,-0.0129946,-0.0181212,-0.0739921
0.095,-0.00312998,-0.0964136,0.0154495,-0.013893,-0.0185795,-0.0825206
0.1,-0.00363651,-0.106269,0.0154495,-0.0132363,-0.019086,-0.0930331
0.105,-0.00419338,-0.116546,0.0154495,-0.0141105,-0.0196429,-0.102436
0.11,-0.00480266,-0.127236,0.0150681,-0.0142867,-0.0198707,-0.112949
0.115,-0.00546641,-0.138331,0.0150681,-0.0135906,-0.0205345,-0.12474
0.12,-0.00618663,-0.149823,0.0150681,-0.0158946,-0.0212547,-0.133929
0.125,-0.00696529,-0.161705,0.0150681,-0.016503,-0.0220333,-0.145202
0.13,-0.00780432,-0.173969,0.0146866,-0.0185158,-0.0224909,-0.155453
0.135,-0.0087056,-0.186606,0.0146866,-0.0217925,-0.0233922,-0.164814
0.14,-0.00967099,-0.19961,0.0146866,-0.0218111,-0.0243576,-0.177799
0.145,-0.0107023,-0.212973,0.0143051,-0.0247583,-0.0250074,-0.188215
0.15,-0.0118013,-0.226687,0.0139236,-0.0274107,-0.025725,-0.199276
0.155,-0.0129697,-0.240745,0.0135422,-0.03473,-0.0265119,-0.206015
0.16,-0.0142093,-0.255139,0.0127792,-0.0437112,-0.0269886,-0.211428
0.165,-0.0155217,-0.269862,0.0120163,-0.057655,-0.027538,-0.212206
0.17,-0.0169085,-0.284906,0.0108719,-0.0687394,-0.0277804,-0.216166
0.175,-0.0183713,-0.300264,0.00972748,-0.0831109,-0.0280987,-0.217153
0.18,-0.0199116,-0.315928,0.0082016,-0.100441,-0.0281132,-0.215488
0.185,-0.021531,-0.331893,0.00743866,-0.111642,-0.0289697,-0.220251
0.19,-0.023231,-0.348149,0.00667572,-0.117328,-0.0299068,-0.230821
0.195,-0.025013,-0.364691,0.00553131,-0.125585,-0.0305443,-0.239105
0.2,-0.0268784,-0.38151,0.00476837,-0.126946,-0.0316468,-0.254564
0.205,-0.0288286,-0.3986,0.00362396,-0.132566,-0.0324525,-0.266034
0.21,-0.0308648,-0.415954,0.00247955,-0.144951,-0.0333444,-0.271003
0.215,-0.0329885,-0.433565,0.000572205,-0.163423,-0.0335607,-0.270142
0.22,-0.0352009,-0.451426,-0.00133514,-0.178582,-0.0338658,-0.272843
0.225,-0.0375032,-0.469529,-0.00247955,-0.18783,-0.0350236,-0.281699
0.23,-0.0398966,-0.487869,-0.00400543,-0.203479,-0.0358912,-0.284389
0.235,-0.0423823,-0.506438,-0.00553131,-0.217564,-0.036851,-0.288874
0.24,-0.0449613,-0.525229,-0.00782013,-0.23024,-0.0371412,-0.294989
0.245,-0.0476349,-0.544236,-0.00934601,-0.244578,-0.0382889,-0.299658
0.25,-0.0504041,-0.563452,-0.0127792,-0.267925,-0.0376248,-0.295527
0.255,-0.0532698,-0.582871,-0.0154495,-0.285821,-0.0378203,-0.297049
0.26,-0.0562331,-0.602485,-0.0177383,-0.301928,-0.0384947,-0.300557
0.265,-0.0592949,-0.622288,-0.0192642,-0.309098,-0.0400307,-0.313191
0.27,-0.0624563,-0.642274,-0.021553,-0.319946,-0.0409032,-0.322328
0.275,-0.065718,-0.662437,-0.0246058,-0.339966,-0.0411122,-0.322471
0.28,-0.0690809,-0.682769,-0.027276,-0.355054,-0.0418049,-0.327715
0.285,-0.0725459,-0.703265,-0.0288019,-0.361307,-0.043744,-0.341958
0.29,-0.0761138,-0.723918,-0.0349054,-0.399105,-0.0412084,-0.324812
0.295,-0.0797854,-0.744721,-0.0371943,-0.409744,-0.0425911,-0.334977
0.3,-0.0835613,-0.765669,-0.0391016,-0.410528,-0.0444597,-0.355141
0.305,-0.0874423,-0.786756,-0.0429163,-0.436142,-0.044526,-0.350614
0.31,-0.0914291,-0.807975,-0.0459681,-0.462125,-0.045461,-0.34585
0.315,-0.0955223,-0.829319,-0.0474939,-0.459136,-0.0480283,-0.370184
0.32,-0.0997225,-0.850784,-0.0509272,-0.471098,-0.0487953,-0.379687
0.325,-0.10403,-0.872363,-0.0577936,-0.506937,-0.0462367,-0.365426
0.33,-0.108446,-0.89405,-0.0612268,-0.52584,-0.0472194,-0.36821
0.335,-0.112971,-0.915839,-0.065423,-0.55311,-0.0475479,-0.362729
0.34,-0.117605,-0.937724,-0.0684748,-0.567396,-0.04913,-0.370328
0.345,-0.122348,-0.959699,-0.0722895,-0.581718,-0.0500589,-0.377981
0.35,-0.127202,-0.981759,-0.0761051,-0.60047,-0.0510968,-0.381289
0.355,-0.132166,-1.0039,-0.0803013,-0.623207,-0.0518648,-0.380691
0.36,-0.137241,-1.02611,-0.084116,-0.631948,-0.0531251,-0.394161
0.365,-0.142427,-1.04839,-0.0879307,-0.650072,-0.0544966,-0.398316
0.37,-0.147725,-1.07073,-0.0921268,-0.672244,-0.0555982,-0.398485
0.375,-0.153135,-1.09313,-0.096323,-0.687804,-0.0568116,-0.405322
0.38,-0.158656,-1.11557,-0.100519,-0.704738,-0.0581372,-0.410836
0.385,-0.16429,-1.13807,-0.110819,-0.747761,-0.0534716,-0.390305
0.39,-0.170037,-1.1606,-0.115396,-0.76749,-0.0546406,-0.393108
0.395,-0.175896,-1.18316,-0.119593,-0.791107,-0.0563038,-0.392057
0.4,-0.181869,-1.20576,-0.124933,-0.816758,-0.0569356,-0.389002
0.405,-0.187954,-1.22838,-0.129892,-0.836914,-0.0580618,-0.391465
0.41,-0.194153,-1.25102,-0.134851,-0.856519,-0.0593012,-0.394497
0.415,-0.200464,-1.27367,-0.139811,-0.875629,-0.0606538,-0.398037
0.42,-0.206889,-1.29632,-0.145533,-0.894293,-0.0613567,-0.402031
0.425,-0.213428,-1.31899,-0.151255,-0.908161,-0.0621729,-0.410824
0.43,-0.220079,-1.34164,-0.162317,-0.947405,-0.0577619,-0.394238
0.435,-0.226844,-1.36429,-0.168039,-0.970613,-0.0588047,-0.393681
0.44,-0.233722,-1.38693,-0.173762,-0.990035,-0.0599597,-0.396898
0.445,-0.240713,-1.40955,-0.179866,-1.01045,-0.0608475,-0.399108
0.45,-0.247818,-1.43215,-0.185969,-1.03468,-0.0618482,-0.397477
0.455,-0.255035,-1.45472,-0.192454,-1.05355,-0.0625804,-0.401172
0.46,-0.262365,-1.47726,-0.198558,-1.07054,-0.0638069,-0.406722
0.465,-0.269807,-1.49977,-0.205043,-1.08583,-0.0647645,-0.413934
0.47,-0.277362,-1.52223,-0.210765,-1.10545,-0.0665975,-0.416773
0.475,-0.28503,-1.54464,-0.216868,-1.12311,-0.0681611,-0.421528
0.48,-0.292809,-1.56701,-0.223736,-1.13901,-0.0690729,-0.427998
0.485,-0.3007,-1.58931,-0.230984,-1.16503,-0.0697158,-0.42428
0.49,-0.308702,-1.61156,-0.23785,-1.18992,-0.0708515,-0.42164
0.495,-0.316815,-1.63375,-0.251965,-1.2297,-0.0648505,-0.404048
0.5,-0.325039,-1.65586,-0.258831,-1.25252,-0.066208,-0.403344
0.505,-0.333373,-1.6779,-0.26646,-1.27598,-0.0669131,-0.401918
0.51,-0.341818,-1.69986,-0.274091,-1.29417,-0.0677272,-0.405691
0.515,-0.350372,-1.72174,-0.280576,-1.31201,-0.0697962,-0.409736
0.52,-0.359035,-1.74354,-0.288968,-1.33392,-0.0700671,-0.409617
0.525,-0.367807,-1.76524,-0.296979,-1.35511,-0.0708282,-0.410133
0.53,-0.376687,-1.78685,-0.304227,-1.36978,-0.0724606,-0.417068
0.535,-0.385675,-1.80836,-0.311856,-1.39031,-0.0738192,-0.418045
0.54,-0.394771,-1.82976,-0.321012,-1.40879,-0.0737593,-0.420972
0.545,-0.403973,-1.85106,-0.33627,-1.44478,-0.0677026,-0.406276
0.55,-0.413281,-1.87224,-0.344281,-1.46953,-0.069,-0.402709
0.555,-0.422695,-1.89331,-0.353436,-1.49328,-0.0692587,-0.400037
0.56,-0.432214,-1.91426,-0.361447,-1.51464,-0.0707668,-0.39962
0.565,-0.441838,-1.93509,-0.369841,-1.53974,-0.071997,-0.395355
0.57,-0.451565,-1.95579,-0.379759,-1.56379,-0.071806,-0.392007
0.575,-0.461395,-1.97636,-0.387388,-1.5781,-0.0740071,-0.398258
0.58,-0.471328,-1.9968,-0.396162,-1.59099,-0.0751662,-0.405807
0.585,-0.481363,-2.01709,-0.40608,-1.61431,-0.0752828,-0.402784
0.59,-0.491499,-2.03724,-0.41371,-1.63383,-0.0777893,-0.403416
0.595,-0.501735,-2.05725,-0.423247,-1.6514,-0.0784879,-0.405854
0.6,-0.512071,-2.07711,-0.432021,-1.67307,-0.0800501,-0.404038
0.605,-0.522506,-2.09681,-0.451095,-1.70603,-0.0714114,-0.390784
0.61,-0.533039,-2.11636,-0.481232,-1.76666,-0.0518074,-0.3497
0.615,-0.543669,-2.13575,-0.489624,-1.78707,-0.0540454,-0.348685
0.62,-0.554396,-2.15498,-0.499542,-1.80396,-0.0548541,-0.351012
