time,pos,vel
0,-3.14,0
0.01,-3.14,0.00116575
0.02,-3.13997,0.00461627
0.03,-3.1399,0.010282
0.04,-3.13976,0.0180939
0.05,-3.13953,0.027984
0.06,-3.13919,0.0398848
0.07,-3.13872,0.0537294
0.08,-3.13811,0.0694518
0.09,-3.13733,0.0869867
0.1,-3.13636,0.106269
0.11,-3.1352,0.127236
0.12,-3.13381,0.149823
0.13,-3.1322,0.173969
0.14,-3.13033,0.19961
0.15,-3.1282,0.226687
0.16,-3.12579,0.255139
0.17,-3.12309,0.284906
0.18,-3.12009,0.315928
0.19,-3.11677,0.348149
0.2,-3.11312,0.38151
0.21,-3.10914,0.415954
0.22,-3.1048,0.451426
0.23,-3.1001,0.487869
0.24,-3.09504,0.525229
0.25,-3.0896,0.563452
0.26,-3.08377,0.602485
0.27,-3.07754,0.642274
0.28,-3.07092,0.682769
0.29,-3.06389,0.723918
0.3,-3.05644,0.765669
0.31,-3.04857,0.807975
0.32,-3.04028,0.850784
0.33,-3.03155,0.89405
0.34,-3.0224,0.937724
0.35,-3.0128,0.981759
0.36,-3.00276,1.02611
0.37,-2.99227,1.07073
0.38,-2.98134,1.11557
0.39,-2.96996,1.1606
0.4,-2.95813,1.20576
0.41,-2.94585,1.25102
0.42,-2.93311,1.29632
0.43,-2.91992,1.34164
0.44,-2.90628,1.38693
0.45,-2.89218,1.43215
0.46,-2.87764,1.47726
0.47,-2.86264,1.52223
0.48,-2.84719,1.56701
0.49,-2.8313,1.61156
0.5,-2.81496,1.65586
0.51,-2.79818,1.69986
0.52,-2.78096,1.74354
0.53,-2.76331,1.78685
0.54,-2.74523,1.82976
0.55,-2.72672,1.87224
0.56,-2.70779,1.91426
0.57,-2.68844,1.95579
0.58,-2.66867,1.9968
0.59,-2.6485,2.03724
0.6,-2.62793,2.07711
0.61,-2.60696,2.11636
0.62,-2.5856,2.15498
0.63,-2.56386,2.19292
0.64,-2.54175,2.23017
0.65,-2.51926,2.26671
0.66,-2.49642,2.30249
0.67,-2.47322,2.33751
0.68,-2.44967,2.37174
0.69,-2.42578,2.40515
0.7,-2.40157,2.43772
0.71,-2.37703,2.46943
0.72,-2.35218,2.50026
0.73,-2.32703,2.5302
0.74,-2.30158,2.55921
0.75,-2.27585,2.58728
0.76,-2.24984,2.6144
0.77,-2.22356,2.64054
0.78,-2.19703,2.66569
0.79,-2.17025,2.68984
0.8,-2.14324,2.71296
0.81,-2.116,2.73505
0.82,-2.08854,2.75609
0.83,-2.06088,2.77606
0.84,-2.03302,2.79496
0.85,-2.00498,2.81277
0.86,-1.97677,2.82949
0.87,-1.9484,2.84509
0.88,-1.91987,2.85958
0.89,-1.89121,2.87294
0.9,-1.86242,2.88517
0.91,-1.83351,2.89625
0.92,-1.8045,2.90619
0.93,-1.77539,2.91497
0.94,-1.7462,2.92259
0.95,-1.71694,2.92905
0.96,-1.68762,2.93434
0.97,-1.65826,2.93845
0.98,-1.62886,2.9414
0.99,-1.59944,2.94316
1,-1.57,2.94375
1.01,-1.54056,2.94316
1.02,-1.51114,2.9414
1.03,-1.48174,2.93845
1.04,-1.45238,2.93434
1.05,-1.42306,2.92905
1.06,-1.3938,2.92259
1.07,-1.36461,2.91497
1.08,-1.3355,2.90619
1.09,-1.30649,2.89625
1.1,-1.27758,2.88517
1.11,-1.24879,2.87294
1.12,-1.22013,2.85958
1.13,-1.1916,2.84509
