time,expected_pos,expected_vel,actual_pos,actual_vel,error_pos,error_vel
0,0.542268,0,0.542268,-0.00604482,0,0.00604482
0.005,0.542268,-0.000101945,0.542268,-0.00763818,-1.70049e-07,0.00753623
0.01,0.542266,-0.000406418,0.542268,-0.00614156,-1.35699e-06,0.00573514
0.015,0.542263,-0.000911384,0.542268,-0.00626001,-4.56838e-06,0.00534863
0.02,0.542257,-0.00161482,0.542268,-0.00490121,-1.08016e-05,0.00328639
0.025,0.542247,-0.00251469,0.542268,-0.00367829,-2.10439e-05,0.0011636
0.03,0.542232,-0.00360899,0.542268,-0.00404307,-3.62725e-05,0.000434079
0.035,0.54221,-0.00489571,0.542268,-0.00437137,-5.74545e-05,-0.000524337
0.04,0.542182,-0.00637285,0.542268,-0.00493278,-8.5547e-05,-0.00144007
0.045,0.542146,-0.00803841,0.542268,-0.00517211,-0.000121497,-0.0028663
0.05,0.542102,-0.00989041,0.542268,-0.00538751,-0.000166242,-0.0045029
0.055,0.542047,-0.0119269,0.542268,-0.00411596,-0.000220709,-0.00781091
0.06,0.541982,-0.0141458,0.542268,-0.00443698,-0.000285815,-0.00970882
0.065,0.541905,-0.0165452,0.542268,-0.00472589,-0.000362467,-0.0118194
0.07,0.541816,-0.0191232,0.542268,-0.00498591,-0.000451565,-0.0141373
0.075,0.541714,-0.0218778,0.542268,-0.00521994,-0.000553994,-0.0166579
0.08,0.541597,-0.0248071,0.542268,-0.00708534,-0.000670634,-0.0177218
0.085,0.541465,-0.0279091,0.542268,-0.00710942,-0.000802353,-0.0207997
0.09,0.541318,-0.0311818,0.542268,-0.00713109,-0.00095001,-0.0240507
0.095,0.541153,-0.0346234,0.542268,-0.00715059,-0.00111445,-0.0274728
0.1,0.540971,-0.0382319,0.542268,-0.00716814,-0.00129652,-0.0310638
0.105,0.540771,-0.0420055,0.542268,-0.00864917,-0.00149705,-0.0333563
0.11,0.540551,-0.0459422,0.542268,-0.00998209,-0.00171685,-0.0359601
0.115,0.540311,-0.05004,0.542268,-0.00947746,-0.00195674,-0.0405626
0.12,0.54005,-0.0542972,0.542268,-0.0107275,-0.00221751,-0.0435697
0.125,0.539768,-0.0587119,0.542268,-0.0103874,-0.00249997,-0.0483245
0.13,0.539463,-0.0632821,0.542268,-0.0100813,-0.00280489,-0.0532008
0.135,0.539135,-0.068006,0.542268,-0.00980576,-0.00313305,-0.0582002
0.14,0.538783,-0.0728817,0.542268,-0.0095578,-0.00348521,-0.0633239
0.145,0.538406,-0.0779074,0.541886,-0.00933463,-0.00348065,-0.0685727
0.15,0.538003,-0.0830812,0.541886,-0.010599,-0.00388306,-0.0724822
0.155,0.537575,-0.0884012,0.541886,-0.0117369,-0.0043117,-0.0766643
0.16,0.537119,-0.0938657,0.541886,-0.0127611,-0.00476731,-0.0811046
0.165,0.536636,-0.0994728,0.541886,-0.0136828,-0.0052506,-0.08579
0.17,0.536124,-0.105221,0.541505,-0.0180429,-0.0053808,-0.0871778
0.175,0.535583,-0.111107,0.541123,-0.0199017,-0.0055401,-0.0912058
0.18,0.535013,-0.117131,0.540742,-0.0230398,-0.00572917,-0.0940917
0.185,0.534412,-0.123291,0.54036,-0.0273291,-0.0059487,-0.0959616
0.19,0.53378,-0.129584,0.539979,-0.03412,-0.00619936,-0.0954636
0.195,0.533116,-0.136008,0.539598,-0.0402318,-0.00648181,-0.0957765
0.2,0.532419,-0.142563,0.539216,-0.0457324,-0.00679672,-0.0968305
0.205,0.53169,-0.149246,0.538835,-0.0521481,-0.00714472,-0.0970975
0.21,0.530927,-0.156055,0.538072,-0.0564571,-0.00714498,-0.0995978
0.215,0.530129,-0.162989,0.53769,-0.0618004,-0.00756106,-0.101188
0.22,0.529297,-0.170046,0.536545,-0.0709374,-0.00724824,-0.0991082
0.225,0.528428,-0.177224,0.535782,-0.0762979,-0.00735342,-0.100926
0.23,0.527524,-0.184521,0.535019,-0.0840528,-0.00749479,-0.100468
0.235,0.526583,-0.191936,0.534637,-0.0895669,-0.00805441,-0.102369
0.24,0.525605,-0.199467,0.533493,-0.0974601,-0.00788846,-0.102007
0.245,0.524588,-0.207112,0.53273,-0.107494,-0.00814193,-0.0996179
0.25,0.523533,-0.21487,0.531586,-0.11799,-0.00805243,-0.0968797
0.255,0.522439,-0.222739,0.530441,-0.127437,-0.00800199,-0.095302
0.26,0.521306,-0.230716,0.53006,-0.130078,-0.00875411,-0.100639
0.265,0.520132,-0.238801,0.528915,-0.135385,-0.00878345,-0.103417
0.27,0.518918,-0.246992,0.526627,-0.155449,-0.00770908,-0.0915429
0.275,0.517662,-0.255287,0.525864,-0.155289,-0.00820179,-0.099998
0.28,0.516364,-0.263684,0.524719,-0.162471,-0.00835477,-0.101214
0.285,0.515025,-0.272182,0.523193,-0.17333,-0.00816851,-0.0988523
0.29,0.513642,-0.280779,0.52243,-0.178708,-0.00878794,-0.102072
0.295,0.512217,-0.289474,0.521667,-0.182082,-0.00945059,-0.107391
0.3,0.510748,-0.298264,0.51976,-0.196841,-0.00901254,-0.101423
0.305,0.509234,-0.307148,0.518234,-0.211589,-0.00900016,-0.0955588
0.31,0.507676,-0.316125,0.516708,-0.220467,-0.00903242,-0.0956579
0.315,0.506073,-0.325192,0.514801,-0.232852,-0.00872833,-0.0923399
0.32,0.504424,-0.334349,0.512894,-0.248395,-0.00846979,-0.085954
0.325,0.502729,-0.343593,0.511368,-0.262383,-0.00863873,-0.0812099
0.33,0.500988,-0.352924,0.507553,-0.283666,-0.00656529,-0.0692575
0.335,0.4992,-0.362338,0.505264,-0.294127,-0.00606459,-0.068211
0.34,0.497364,-0.371836,0.503738,-0.297682,-0.00637412,-0.0741544
0.345,0.495481,-0.381415,0.502213,-0.299415,-0.00673133,-0.0819996
0.35,0.49355,-0.391073,0.500687,-0.303906,-0.00713664,-0.0871674
0.355,0.49157,-0.40081,0.498779,-0.307948,-0.00720897,-0.0928623
0.36,0.489542,-0.410623,0.497253,-0.314515,-0.00771164,-0.0961075
0.365,0.487464,-0.420511,0.495346,-0.318961,-0.0078821,-0.10155
0.37,0.485337,-0.430472,0.493057,-0.328823,-0.0077207,-0.101649
0.375,0.483159,-0.440506,0.487717,-0.358435,-0.00455754,-0.0820708
0.38,0.480931,-0.450609,0.485809,-0.371676,-0.00487795,-0.0789336
0.385,0.478653,-0.460782,0.483139,-0.382127,-0.00448612,-0.0786545
